Note,Avg power consumption (Wh),From,To,kWh
,4.742268041237,2022/10/16 15:05 (GMT+2),2022/10/17 15:20 (GMT+2),0.115
,4.338725023787,2022/10/17 16:09 (GMT+2),2022/10/18 9:40 (GMT+2),0.076
During the day.,4.248704663212,2022/10/18 9:41 (GMT+2),2022/10/18 19:20 (GMT+2),0.041
During the night.,4.275362318841,2022/10/18 19:22 (GMT+2),2022/10/19 9:10 (GMT+2),0.059
During the day. Switched back to 2.5A limit.,4.341372912801,2022/10/19 9:16 (GMT+2),2022/10/19 18:15 (GMT+2),0.039
During the night.,4.786885245902,2022/10/19 18:20 (GMT+2),2022/10/20 9:35 (GMT+2),0.073
,5.157593123209,2022/10/20 9:35 (GMT+2),2022/10/20 21:13 (GMT+2),0.06
