From,To,kWh,Avg power consumption (Wh),Title
2022/09/11 5:45,2022/09/12 3:23,0.11,5.084745762712,
2022/09/12 3:23,2022/09/12 9:55,0.033,5.051020408163,
2022/09/12 19:15,2022/09/13 19:58,0.126,5.09777478085,
2022/09/13 19:59,2022/09/15 3:34,0.162,5.129287598945,
