From,To,kWh,Avg power consumption (Wh),Title
2022/09/15 3:34 (GMT+2),2022/09/16 9:07 (GMT+2),0.152,5.143824027073,
2022/09/17 20:01 (GMT+2),2022/09/19 10:00 (GMT+2),0.194,5.107503290917,
2022/09/19 10:00 (GMT+2),2022/09/23 17:47 (GMT+2),0.526,5.068251164285,
