Component,Price $,Price CZK,Price €
https://botland.cz/raspberry-pi-hat-napajeci-zdroje/10599-baterie-pijuice-hat-prenosna-platforma-napajeciho-zdroje-pro-raspberry-pi-616909467655.html,$84.97,"CZK 2,052.00",€83.35
https://www.alza.cz/verbatim-vi560-s3-1tb-d6748064.htm,$90.23,"CZK 2,179.00",€88.51
https://rpishop.cz/pro-pripojeni-hddssd/3268-suptronics-x862-m2-ngff-sata-ssd-shield.html,$33.08,CZK 799.00,€32.45
https://www.alza.cz/raspberry-pi-rb-heatsink-d4147799.htm,$3.40,CZK 82.00,€3.33
https://www.alza.cz/raspberry-pi-4-5v-3a-cerny-d5662379.htm,$11.97,CZK 289.00,€11.74
https://botland.cz/baterie-li-pol-1s-37-v/14229-li-pol-pijuice-12000mah-1s-37v-baterie-3pinovy-zasuvkovy-konektor-0646648333164.html,$34.87,CZK 842.00,€34.20
https://rpishop.cz/solarni-panely/934-pijuice-solar-panel-40w.html,$171.64,"CZK 4,145.00",€168.36
https://www.amazon.de/dp/B089LZ7KB8/ref=pe_27091401_487027711_TE_SCE_3p_dp_1,$188.67,"CZK 4,556.48",€185.07
