date,link,Description
2021/03/26,http://agentydragon.com/posts/2015-08-24-tricks-of-the-trade.html,
2021/03/26,http://agentydragon.com/posts/2020-02-21-you-are-an-optimizer.html,
2021/06/13,https://rarehistoricalphotos.com/life-before-autocad-1950-1980/,
2021/06/18,https://athenawalker.substack.com/p/tip-the-scales-in-your-favor,
2021/06/18,https://dfens-cz.com/ekonomie-penize-a-bitcoin/,
2021/07/02,https://web.archive.org/web/20131130191257/http://www.shirky.com/writings/group_enemy.html,
2021/07/03,https://corecursive.com/066-sqlite-with-richard-hipp/,
2021/07/06,https://www.kalzumeus.com/2012/01/23/salary-negotiation/,
2021/07/12,https://antonz.org/sqlite-is-not-a-toy-database/,
2021/07/15,https://optimal-codestyle.github.io/,
2021/08/03,https://dariusforoux.com/prices-law/,
2021/08/18,https://jlcollinsnh.com/2017/07/26/time-machine-and-the-future-returns-for-stocks/,
2021/08/20,https://www.newyorker.com/magazine/2021/08/23/why-is-it-so-hard-to-be-rational,
2021/08/31,https://thehftguy.com/2020/10/27/my-experience-in-production-with-flask-bottle-tornado-and-twisted/,
2021/09/02,https://zpravy.aktualne.cz/ekonomika/zkusili-jsme-doplnit-ztracene-odpracovane-roky-do-evidence-a/r~cba8a594fb8111ebbc3f0cc47ab5f122/,
2021/09/18,http://nathanmarz.com/blog/suffering-oriented-programming.html,
2021/09/24,https://what.thedailywtf.com/topic/20054/we-are-agile,
2021/09/30,https://markets.businessinsider.com/news/currencies/hamster-trading-cryptocurrencies-rigged-cage-goxx-bitcoin-price-ether-doge-2021-9,
2021/10/19,https://devlog.hexops.com/2021/I-write-code-100-hours-a-week,
2021/10/24,https://mattferraro.dev/posts/caustics-engineering,
2021/10/25,https://imjustcreative.com/pure-storage-logo-design-case-study/2019/09/18,
2021/10/26,https://www.notion.so/blog/alan-kay,
2021/10/31,https://rogersbacon.substack.com/p/snosh,Joscha Bach story.
2021/11/15,https://www.esat.kuleuven.be/cosic/blog/dumping-and-extracting-the-spacex-starlink-user-terminal-firmware/,
2021/12/07,https://apenwarr.ca/log/20211201,
2022/01/09,https://cray-history.net/2021/11/04/cray-customer-service-by-charles-clark/,
2022/01/20,https://www.danstroot.com/posts/2018-10-03-hammer-factories,
2022/01/23,https://www.raptitude.com/2022/01/everything-must-be-paid-for-twice/,
2022/01/27,https://ai.facebook.com/blog/ai-rsc,
2022/02/07,https://scottaaronson.blog/?p=6288,AlphaCode as a dog speaking mediocre English
2022/02/15,https://lukasz.langa.pl/5d044f91-49c1-4170-aed1-62b6763e6ad0/,Notes From the Meeting On Python GIL Removal Between Python Core and Sam Gross
2022/03/24,https://gankra.github.io/blah/c-isnt-a-language/,
2022/05/25,https://ciechanow.ski/mechanical-watch/,
2022/06/07,https://maggieappleton.com/metaphors-web,
2022/06/10,https://antonz.org/protocol/,"Flying Pig, or Protocols in Python"
2022/06/12,https://maggieappleton.com/block-data,
2022/06/12,https://maggieappleton.com/epistemic-disclosure,
2022/06/12,https://arkadiuszchmura.com/posts/my-key-takeaways-from-the-pragmatic-programmer/,
2022/06/12,https://martinheinz.dev/blog/70,Python fstrings.
2022/06/26,https://roman.pt/posts/dont-let-dicts-spoil-your-code/,
2022/07/03,https://aaronhertzmann.com/2022/02/28/how-does-perspective-work.html,
2022/08/06,https://jsomers.net/i-should-have-loved-biology/,"Brilliant article about biology, with a bunch of links to relevant books."
2022/08/14,https://observablehq.com/@jsomers/we-need-more-tiny-knowledge-projects-heres-one,
2022/08/14,https://jsomers.net/blog/more-people-should-write,
2022/08/17,https://fortelabs.co/blog/how-to-build-your-personal-productivity-stack/,
2022/09/20,https://gbracha.blogspot.com/2022/06/the-prospect-of-execution-hidden.html,
2022/09/20,https://eugeneyan.com/writing/uncommon-python/,
2022/10/05,https://jalammar.github.io/illustrated-stable-diffusion/,
2022/10/06,https://tratt.net/laurie/blog/2022/uml_my_part_in_its_downfall.html,
2022/10/08,https://www.shadertoy.com/view/4dsXzM,"Fovea detector. Look at any specific point, and you should clearly see the extent of your fovea (the stars only seem to be rotating in a small circle at the center of your vision). Move your head back and forth to see it grow/shrink."
2023/01/11,https://world.hey.com/dhh/an-ode-to-software-products-over-software-services-c2705aff,Mostly obvious points about why cloud-based software products sux.
2023/01/14,https://thenewstack.io/oxide-computings-bryan-cantrill-on-the-importance-of-toolmaking/,Interesting point about why we are not focusing on tool making in the software world.
2023/01/21,https://www.lowtechmagazine.com/2016/03/hydraulic-accumulator-power-water-networks.html,"Quite fascinating read about hydraulic power networks which were in use in some cities a century and a half ago, delivering power using high-pressure water."
2023/01/25,https://www.sequoiacap.com/article/notion-spotlight/,
2023/01/25,http://tao.kvalitne.cz/horak.html,Tao in Czech Language.
2023/02/11,https://astralcodexten.substack.com/p/janus-simulators,"Chat GPT, GPT3, and how alien it actually is."
